id,name,partType,variant,mass_g,status
PART_MAG_WIDE_INTERFACE,Wide magnetic pole shoe interface/adaptor,Interface,magnetic-wide,,candidate
PART_HYBRID_CONTACT,Rigid-soft hybrid jaw / PA12+TPU contact element,Jaw/Finger/Cup/Pole,hybrid,,candidate
PART_HYBRID_INTERFACE,Rigid-soft hybrid jaw / PA12+TPU interface/adaptor,Interface,hybrid,,candidate
PART_FLAT_ABS_CONTACT,Flat jaws / ABS / FFF contact element,Jaw/Finger/Cup/Pole,custom-flat,,candidate
PART_FLAT_ABS_INTERFACE,Flat jaws / ABS / FFF interface/adaptor,Interface,custom-flat,,candidate
PART_FLAT_ASA_CONTACT,Flat jaws / ASA / FFF contact element,Jaw/Finger/Cup/Pole,custom-flat,,candidate
PART_FLAT_ASA_INTERFACE,Flat jaws / ASA / FFF interface/adaptor,Interface,custom-flat,,candidate
PART_FLAT_PLA_CONTACT,Flat jaws / PLA / FFF contact element,Jaw/Finger/Cup/Pole,custom-flat,,candidate
PART_FLAT_PLA_INTERFACE,Flat jaws / PLA / FFF interface/adaptor,Interface,custom-flat,,candidate
PART_PREC_PA11_CONTACT,Precision jaws / PA11 / SLS contact element,Jaw/Finger/Cup/Pole,custom-precision,,candidate
PART_PREC_PA11_INTERFACE,Precision jaws / PA11 / SLS interface/adaptor,Interface,custom-precision,,candidate
PART_PREC_PC_CONTACT,Precision jaws / PC / CNC contact element,Jaw/Finger/Cup/Pole,custom-precision,,candidate
PART_PREC_PC_INTERFACE,Precision jaws / PC / CNC interface/adaptor,Interface,custom-precision,,candidate
PART_PU_PAD_CONTACT,PA12 jaws + PU pads contact element,Jaw/Finger/Cup/Pole,soft-pad,,candidate
PART_PU_PAD_INTERFACE,PA12 jaws + PU pads interface/adaptor,Interface,soft-pad,,candidate
