from_id,to_id,factor,location
e412ed0d-8a14-4eea-a9f5-f966517360c0,IC_EF_WATER_USE,4.2950E+01,
fe0acd60-3ddc-11dd-ab5f-0050c2490048,IC_EF_RESOURCE_MINERALS,1.09E-09,
5bd6b1f7-11f8-40d5-ab22-19cadfa38402,IC_EF_LAND_USE,-131,
1729ef88-6556-11dd-ad8b-0800200c9a66,IC_EF_WATER_USE,3.42E+01,MK
42378359-15eb-4e60-8f72-b796b9d71e69,IC_EF_LAND_USE,1.3482E+02,PL
80a0d183-7b74-4497-95f5-8bf25681c32e,IC_EF_LAND_USE,-1.4558E+02,DE
f62266ab-2385-45b1-beb6-cbdbafaeb00b,IC_EF_WATER_USE,1.17E+00,NL
39f017d4-14b0-44c2-93c6-ed6bf28332a8,IC_EF_LAND_USE,1.4021E+02,DE
e29e7755-623d-47fb-b2ac-c0615a1b709f,IC_EF_LAND_USE,-1.4342E+02,LT
503f7e73-748c-4f38-9b87-90805b5d1c38,IC_EF_LAND_USE,-1.3599E+02,CN
b0744c5e-9859-470f-99dc-b117be5a32c5,IC_EF_LAND_USE,207,
28e5f69f-7b2e-4e31-9725-d407b2964b3f,IC_EF_LAND_USE,5.1036E+01,MX
c38ef9cf-ae41-40a8-b018-58d9472c7cfa,IC_EF_LAND_USE,8.5675E+01,FI
b0259a80-eb97-4dee-be0a-d0535a8a9ed4,IC_EF_LAND_USE,2.5851E+02,NL
64faa7b1-e114-497a-b584-f4659e7115e4,IC_EF_LAND_USE,-1.1952E+02,RO
92f1554f-121d-4f07-a1bb-b07cd2f7c2f5,IC_EF_LAND_USE,2.5337E+02,EE
e29e7755-623d-47fb-b2ac-c0615a1b709f,IC_EF_LAND_USE,-5.5662E+01,MX
9fcab08d-c0e9-490f-b594-ee023a78d5c7,IC_EF_LAND_USE,1.4078E+02,US
933debfd-2aa5-4a35-b07b-2732350ea29c,IC_EF_LAND_USE,2.3651E+02,AT
9699a63f-c966-43a4-816c-b1fbbf0a3e88,IC_EF_LAND_USE,-9.4179E+01,SE
5ba8d644-c1bb-410b-9bf4-e5f969efb078,IC_EF_LAND_USE,-101,
1729ef88-6556-11dd-ad8b-0800200c9a66,IC_EF_WATER_USE,4.24E+01,CN
64faa7b1-e114-497a-b584-f4659e7115e4,IC_EF_LAND_USE,-1.1957E+02,CN
4d9a8790-3ddd-11dd-96cb-0050c2490048,IC_EF_RESOURCE_MINERALS,6.04E-06,
fe0acd60-3ddc-11dd-a6fa-0050c2490048,IC_EF_RESOURCE_FOSSILS,1.00E+00,
32e9ce57-5c64-44fe-ba5f-e29adb467eb7,IC_EF_LAND_USE,-1.4558E+02,DE
1a00b335-af6e-47db-bc23-012f2c0642ab,IC_EF_LAND_USE,1.1951E+02,EE
9699a63f-c966-43a4-816c-b1fbbf0a3e88,IC_EF_LAND_USE,-1.2574E+02,LV
eb84226d-129f-49d8-8d69-cc484b7a6cbf,IC_EF_LAND_USE,3.6014E+02,RS
b6d6d67f-a3c4-4292-93cf-0454339ace53,IC_EF_LAND_USE,-7.3972E+01,MX
1c6a1585-0329-4134-aa24-b0aca0c5af11,IC_EF_LAND_USE,243,
25a53117-7717-41f6-9085-64b1728c9b0d,IC_EF_LAND_USE,-1.1209E+02,CZ
e412ed0d-8a14-4eea-a9f5-f966517360c0,IC_EF_WATER_USE,7.21E+01,AU
f62266ab-2385-45b1-beb6-cbdbafaeb00b,IC_EF_WATER_USE,2.36E+01,ID
933debfd-2aa5-4a35-b07b-2732350ea29c,IC_EF_LAND_USE,4.0499E+02,MY
eb84226d-129f-49d8-8d69-cc484b7a6cbf,IC_EF_LAND_USE,2.3201E+02,RO
97990d8f-aae4-41ea-afb4-c62d2bcfea3b,IC_EF_LAND_USE,1.2761E+02,PL
fe0acd60-3ddc-11dd-ae5a-0050c2490048,IC_EF_WATER_USE,4.41E+00,SE
a687e5df-4694-4151-ba84-0722481d6fdf,IC_EF_LAND_USE,-136,
eb84226d-129f-49d8-8d69-cc484b7a6cbf,IC_EF_LAND_USE,3.1125E+02,MY
f49ad273-9482-453c-8bdb-dadf8751e3ae,IC_EF_LAND_USE,-9.6535E+01,ES
6e70f994-480b-4836-a605-5f958a3d7ea4,IC_EF_WATER_USE,1.64E+00,MY
f62266ab-2385-45b1-beb6-cbdbafaeb00b,IC_EF_WATER_USE,2.17E+00,BR
1a00b335-af6e-47db-bc23-012f2c0642ab,IC_EF_LAND_USE,1.1963E+02,KR
3d6ecf59-2f58-40a9-a385-fcfd8dac0b24,IC_EF_LAND_USE,1.3526E+01,ZA
8af79474-1d57-4251-a878-c2973b2814e6,IC_EF_LAND_USE,1.7445E+02,US
b0744c5e-9859-470f-99dc-b117be5a32c5,IC_EF_LAND_USE,1.2192E+02,TR
9fcab08d-c0e9-490f-b594-ee023a78d5c7,IC_EF_LAND_USE,2.2791E+02,IN
041ff933-6556-11dd-ad8b-0800200c9a66,IC_EF_RESOURCE_MINERALS,1.60E-08,
e29e7755-623d-47fb-b2ac-c0615a1b709f,IC_EF_LAND_USE,-2.0109E+02,IN
9699a63f-c966-43a4-816c-b1fbbf0a3e88,IC_EF_LAND_USE,-3.4686E+02,SL
64faa7b1-e114-497a-b584-f4659e7115e4,IC_EF_LAND_USE,-1.1953E+02,DK
64faa7b1-e114-497a-b584-f4659e7115e4,IC_EF_LAND_USE,-5.0897E+01,CA
87334803-fa5b-4c21-b52c-de9d79d806f8,IC_EF_LAND_USE,-1.4557E+02,GB
ceabbb26-5d70-41f2-81bd-c1b096dc0931,IC_EF_LAND_USE,4.0499E+02,MY
9699a63f-c966-43a4-816c-b1fbbf0a3e88,IC_EF_LAND_USE,-1.5124E+02,CZ
42378359-15eb-4e60-8f72-b796b9d71e69,IC_EF_LAND_USE,2.5933E+02,VE
8af79474-1d57-4251-a878-c2973b2814e6,IC_EF_LAND_USE,7.3972E+01,AU
f62266ab-2385-45b1-beb6-cbdbafaeb00b,IC_EF_WATER_USE,3.64E+01,ZA
616ab5c3-116f-4fbb-bc6b-196318afe5be,IC_EF_LAND_USE,1.5223E+02,NO
25a53117-7717-41f6-9085-64b1728c9b0d,IC_EF_LAND_USE,-1.1209E+02,IT
91e86b1f-98b2-433a-8356-cfc2b2b2a7c4,IC_EF_LAND_USE,1.4558E+02,DE
e412ed0d-8a14-4eea-a9f5-f966517360c0,IC_EF_WATER_USE,4.71E+01,AR
1729ef88-6556-11dd-ad8b-0800200c9a66,IC_EF_WATER_USE,3.34E+01,MX
1729ef88-6556-11dd-ad8b-0800200c9a66,IC_EF_WATER_USE,7.77E+01,ES
848d055d-88c2-4926-9ddd-1671887c4e2f,IC_EF_LAND_USE,1.6443E+02,CZ
6d205e19-e6c2-4090-b138-01a1b9326a76,IC_EF_LAND_USE,9.6535E+01,ES
1729ef88-6556-11dd-ad8b-0800200c9a66,IC_EF_WATER_USE,3.38E+01,US
aeea42cc-4215-465f-981f-ae2ab387fbb9,IC_EF_LAND_USE,-1.2628E+02,PL
64faa7b1-e114-497a-b584-f4659e7115e4,IC_EF_LAND_USE,-1.1963E+02,KR
616ab5c3-116f-4fbb-bc6b-196318afe5be,IC_EF_LAND_USE,3.3861E+02,NZ
e412ed0d-8a14-4eea-a9f5-f966517360c0,IC_EF_WATER_USE,3.38E+01,US
616ab5c3-116f-4fbb-bc6b-196318afe5be,IC_EF_LAND_USE,1.4078E+02,US
848d055d-88c2-4926-9ddd-1671887c4e2f,IC_EF_LAND_USE,1.1689E+02,MK
9db48d2d-17e8-4b4c-b439-2aab1c3d80f2,IC_EF_LAND_USE,-1.5706E+02,ES
25a53117-7717-41f6-9085-64b1728c9b0d,IC_EF_LAND_USE,-6.6024E+01,ES
92f1554f-121d-4f07-a1bb-b07cd2f7c2f5,IC_EF_LAND_USE,3.1985E+02,ID
8db68d81-3998-4b52-af19-2beb2ac9a98e,IC_EF_LAND_USE,8.5675E+01,RU
eb84226d-129f-49d8-8d69-cc484b7a6cbf,IC_EF_LAND_USE,4.2047E+02,BE
1a00b335-af6e-47db-bc23-012f2c0642ab,IC_EF_LAND_USE,7.3972E+01,GR
92f1554f-121d-4f07-a1bb-b07cd2f7c2f5,IC_EF_LAND_USE,2.7184E+02,DK
1729ef88-6556-11dd-ad8b-0800200c9a66,IC_EF_WATER_USE,1.37E+01,RS
1f308830-6556-11dd-ad8b-0800200c9a66,IC_EF_RESOURCE_MINERALS,7.07E-07,
