id,name,flowType,category,referenceUnit,casNumber,status,description,source,sourceDatabase
FLOW_PA12,PA12,ProductFlow,material,kg,,candidate,Intermediate/product flow for PA12,,
FLOW_PETG,PETG,ProductFlow,material,kg,,candidate,Intermediate/product flow for PETG,,
FLOW_ALUMINUM,Aluminum,ProductFlow,material,kg,,candidate,Intermediate/product flow for aluminum,,
FLOW_STEEL,Steel,ProductFlow,material,kg,,candidate,Intermediate/product flow for steel,,
FLOW_TPU,TPU,ProductFlow,material,kg,,candidate,Intermediate/product flow for TPU,,
FLOW_SILICONE,Silicone,ProductFlow,material,kg,,candidate,Intermediate/product flow for silicone,,
FLOW_ELECTRICITY,Electricity,ProductFlow,energy,kWh,,candidate,Electricity input as intermediate/product flow,,
FLOW_COMPONENT,Finished gripper component,ProductFlow,product,pcs,,candidate,Reference product output,,
FLOW_WASTE,Manufacturing waste,WasteFlow,waste,kg,,candidate,Generic waste flow,,
08a91e70-3ddc-11dd-9140-0050c2490048,xenon-137,ElementaryFlow,Emissions / Emissions to air,kBq,014835-21-3,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9144-0050c2490048,xenon-138,ElementaryFlow,Emissions / Emissions to air,kBq,015751-81-2,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9154-0050c2490048,volatile organic compound,ElementaryFlow,Emissions / Emissions to water,kg,,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-918a-0050c2490048,(2,4-dichlorophenoxy)acetic acid,ElementaryFlow,Emissions / Emissions to soil,kg,000094-75-7,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9195-0050c2490048,acenaphthene,ElementaryFlow,Emissions / Emissions to water,kg,000083-32-9,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9198-0050c2490048,acenaphthene,ElementaryFlow,Emissions / Emissions to water,kg,000083-32-9,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9199-0050c2490048,acenaphthylene,ElementaryFlow,Emissions / Emissions to water,kg,000208-96-8,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-919c-0050c2490048,acenaphthylene,ElementaryFlow,Emissions / Emissions to water,kg,000208-96-8,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-919d-0050c2490048,acephate,ElementaryFlow,Emissions / Emissions to soil,kg,030560-19-1,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-91a2-0050c2490048,acid (as H+),ElementaryFlow,Emissions / Emissions to water,kg,012408-02-5,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-91a4-0050c2490048,acrolein,ElementaryFlow,Emissions / Emissions to air,kg,000107-02-8,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-91a7-0050c2490048,acrylic acid,ElementaryFlow,Emissions / Emissions to water,kg,000079-10-7,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-91ae-0050c2490048,acryolonitrile,ElementaryFlow,Emissions / Emissions to air,kg,000107-13-1,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-91b2-0050c2490048,acryolonitrile,ElementaryFlow,Emissions / Emissions to water,kg,000107-13-1,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-91bc-0050c2490048,aldicarb,ElementaryFlow,Emissions / Emissions to soil,kg,000116-06-3,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-91be-0050c2490048,particles (PM10),ElementaryFlow,Emissions / Emissions to air,kg,,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-91d1-0050c2490048,cis-2-pentene,ElementaryFlow,Emissions / Emissions to air,kg,000627-20-3,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-91d3-0050c2490048,antimony,ElementaryFlow,Emissions / Emissions to soil,kg,007440-36-0,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-91d5-0050c2490048,antimony,ElementaryFlow,Resources / Resources from ground,kg,007440-36-0,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-91d7-0050c2490048,arsenic,ElementaryFlow,Emissions / Emissions to air,kg,007440-38-2,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-91dd-0050c2490048,arsenic,ElementaryFlow,Emissions / Emissions to soil,kg,007440-38-2,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-91df-0050c2490048,arsenic,ElementaryFlow,Emissions / Emissions to water,kg,007440-38-2,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-91e2-0050c2490048,arsenic,ElementaryFlow,Emissions / Emissions to soil,kg,007440-38-2,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-91e3-0050c2490048,arsenic,ElementaryFlow,Emissions / Emissions to water,kg,007440-38-2,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-91e4-0050c2490048,arsenic,ElementaryFlow,Resources / Resources from ground,kg,007440-38-2,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-91e5-0050c2490048,asulam,ElementaryFlow,Emissions / Emissions to soil,kg,003337-71-1,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-91f3-0050c2490048,bentazone,ElementaryFlow,Emissions / Emissions to water,kg,025057-89-0,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-91f7-0050c2490048,benzaldehyde,ElementaryFlow,Emissions / Emissions to air,kg,000100-52-7,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9202-0050c2490048,benzene,ElementaryFlow,Emissions / Emissions to air,kg,000071-43-2,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9207-0050c2490048,benzene,ElementaryFlow,Emissions / Emissions to water,kg,000071-43-2,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-920c-0050c2490048,triallate,ElementaryFlow,Emissions / Emissions to water,kg,002303-17-5,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9221-0050c2490048,benzo[a]pyrene,ElementaryFlow,Emissions / Emissions to air,kg,000050-32-8,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9225-0050c2490048,benzo[a]pyrene,ElementaryFlow,Emissions / Emissions to water,kg,000050-32-8,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-922b-0050c2490048,benzylchloride,ElementaryFlow,Emissions / Emissions to air,kg,000100-44-7,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9232-0050c2490048,bifenthrin,ElementaryFlow,Emissions / Emissions to soil,kg,082657-04-3,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9234-0050c2490048,calcium,ElementaryFlow,Emissions / Emissions to water,kg,007440-70-2,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9235-0050c2490048,calcium,ElementaryFlow,Resources / Resources from ground,kg,007440-70-2,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9238-0050c2490048,carbofuran,ElementaryFlow,Emissions / Emissions to soil,kg,001563-66-2,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-923a-0050c2490048,calcium carbonate,ElementaryFlow,Resources / Resources from ground,kg,000471-34-1,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-923d-0050c2490048,carbon dioxide (fossil),ElementaryFlow,Emissions / Emissions to air,kg,000124-38-9,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
