id,name,flowType,category,referenceUnit,casNumber,status,description,source,sourceDatabase
FLOW_PA12,PA12,ProductFlow,material,kg,,candidate,Intermediate/product flow for PA12,,
FLOW_PETG,PETG,ProductFlow,material,kg,,candidate,Intermediate/product flow for PETG,,
FLOW_ALUMINUM,Aluminum,ProductFlow,material,kg,,candidate,Intermediate/product flow for aluminum,,
FLOW_STEEL,Steel,ProductFlow,material,kg,,candidate,Intermediate/product flow for steel,,
FLOW_TPU,TPU,ProductFlow,material,kg,,candidate,Intermediate/product flow for TPU,,
FLOW_SILICONE,Silicone,ProductFlow,material,kg,,candidate,Intermediate/product flow for silicone,,
FLOW_ELECTRICITY,Electricity,ProductFlow,energy,kWh,,candidate,Electricity input as intermediate/product flow,,
FLOW_COMPONENT,Finished gripper component,ProductFlow,product,pcs,,candidate,Reference product output,,
FLOW_WASTE,Manufacturing waste,WasteFlow,waste,kg,,candidate,Generic waste flow,,
08a91e70-3ddc-11dd-96d3-0050c2490048,niobium-95,ElementaryFlow,Emissions / Emissions to air,kBq,013967-76-5,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-96d7-0050c2490048,nitrate,ElementaryFlow,Emissions / Emissions to air,kg,014797-55-8,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-96e0-0050c2490048,nitrite,ElementaryFlow,Emissions / Emissions to water,kg,014797-65-0,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-96e3-0050c2490048,nitrite,ElementaryFlow,Emissions / Emissions to water,kg,014797-65-0,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-96e4-0050c2490048,dinitrogen,ElementaryFlow,Resources / Resources from air,kg,007727-37-9,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-96e5-0050c2490048,nitrogen dioxide,ElementaryFlow,Emissions / Emissions to air,kg,010102-44-0,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-96ea-0050c2490048,nitrogen dioxide,ElementaryFlow,Emissions / Emissions to water,kg,010102-44-0,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-96ed-0050c2490048,nitrogen dioxide,ElementaryFlow,Emissions / Emissions to water,kg,010102-44-0,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-96ee-0050c2490048,nitrogen monoxide,ElementaryFlow,Emissions / Emissions to air,kg,010102-43-9,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-972f-0050c2490048,o-cresol,ElementaryFlow,Emissions / Emissions to air,kg,000095-48-7,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9734-0050c2490048,octane,ElementaryFlow,Emissions / Emissions to air,kg,000111-65-9,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9737-0050c2490048,orbencarb,ElementaryFlow,Emissions / Emissions to soil,kg,034622-58-7,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9745-0050c2490048,oxygen,ElementaryFlow,Emissions / Emissions to air,kg,007782-44-7,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-974c-0050c2490048,o-xylene,ElementaryFlow,Emissions / Emissions to air,kg,000095-47-6,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9751-0050c2490048,o-xylene,ElementaryFlow,Emissions / Emissions to water,kg,000095-47-6,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9756-0050c2490048,ozone,ElementaryFlow,Emissions / Emissions to air,kg,010028-15-6,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-975b-0050c2490048,phenol,ElementaryFlow,Emissions / Emissions to water,kg,000108-95-2,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-975f-0050c2490048,phenol,ElementaryFlow,Emissions / Emissions to water,kg,000108-95-2,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-976d-0050c2490048,2,4-dichlorophenol,ElementaryFlow,Emissions / Emissions to air,kg,000120-83-2,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9778-0050c2490048,2-chlorophenol,ElementaryFlow,Emissions / Emissions to air,kg,000095-57-8,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9783-0050c2490048,phosphate,ElementaryFlow,Emissions / Emissions to air,kg,014265-44-2,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9787-0050c2490048,phosphate,ElementaryFlow,Emissions / Emissions to water,kg,014265-44-2,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-978a-0050c2490048,phosphate,ElementaryFlow,Emissions / Emissions to water,kg,014265-44-2,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-978b-0050c2490048,phosphine,ElementaryFlow,Emissions / Emissions to air,kg,007803-51-2,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-97bf-0050c2490048,polonium-210,ElementaryFlow,Emissions / Emissions to water,kBq,013981-52-7,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-97c2-0050c2490048,polonium-210,ElementaryFlow,Emissions / Emissions to water,kBq,013981-52-7,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-97c3-0050c2490048,potassium,ElementaryFlow,Emissions / Emissions to water,kg,007440-09-7,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-97c6-0050c2490048,potassium,ElementaryFlow,Emissions / Emissions to water,kg,007440-09-7,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-97c8-0050c2490048,potassium-40,ElementaryFlow,Emissions / Emissions to air,kBq,013966-00-2,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-97cc-0050c2490048,potassium-40,ElementaryFlow,Emissions / Emissions to water,kBq,013966-00-2,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-97cf-0050c2490048,potassium-40,ElementaryFlow,Emissions / Emissions to water,kBq,013966-00-2,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-97d1-0050c2490048,prochloraz,ElementaryFlow,Emissions / Emissions to soil,kg,067747-09-5,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-97d5-0050c2490048,ammonium,ElementaryFlow,Emissions / Emissions to water,kg,014798-03-9,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-97d7-0050c2490048,antimonite,ElementaryFlow,Resources / Resources from ground,kg,,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-97d8-0050c2490048,arsenic trioxide,ElementaryFlow,Emissions / Emissions to air,kg,001327-53-3,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-97dc-0050c2490048,barium sulfate,ElementaryFlow,Resources / Resources from ground,kg,007727-43-7,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-97dd-0050c2490048,bauxite,ElementaryFlow,Resources / Resources from ground,kg,001318-16-7,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-97de-0050c2490048,biological oxygen demand,ElementaryFlow,Emissions / Emissions to water,kg,,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-97e1-0050c2490048,biological oxygen demand,ElementaryFlow,Emissions / Emissions to water,kg,,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-97e4-0050c2490048,polychlorinated biphenyls,ElementaryFlow,Emissions / Emissions to air,kg,001336-36-3,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-97eb-0050c2490048,borax,ElementaryFlow,Resources / Resources from ground,kg,012447-40-4,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-97ec-0050c2490048,calcium chloride,ElementaryFlow,Resources / Resources from ground,kg,010043-52-4,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-97ed-0050c2490048,chemical oxygen demand,ElementaryFlow,Emissions / Emissions to water,kg,,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-97f0-0050c2490048,chemical oxygen demand,ElementaryFlow,Emissions / Emissions to water,kg,,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-97f1-0050c2490048,cinnabar,ElementaryFlow,Resources / Resources from ground,kg,019122-79-3,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-97f2-0050c2490048,colemanite,ElementaryFlow,Resources / Resources from ground,kg,001318-33-8,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-97f4-0050c2490048,diatomite,ElementaryFlow,Resources / Resources from ground,kg,068855-54-9,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-97f7-0050c2490048,fluorspar,ElementaryFlow,Resources / Resources from ground,kg,014542-23-5,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-97f8-0050c2490048,gypsum,ElementaryFlow,Resources / Resources from ground,kg,007778-18-9,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-97f9-0050c2490048,baryte,ElementaryFlow,Resources / Resources from ground,kg,007727-43-7,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-97fd-0050c2490048,hydrogen chloride,ElementaryFlow,Emissions / Emissions to water,kg,007647-01-0,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9804-0050c2490048,hydrogen fluoride,ElementaryFlow,Emissions / Emissions to air,kg,007664-39-3,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9810-0050c2490048,polycyclic aromatic hydrocarbons,ElementaryFlow,Emissions / Emissions to water,kg,,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9813-0050c2490048,polycyclic aromatic hydrocarbons,ElementaryFlow,Emissions / Emissions to water,kg,,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9816-0050c2490048,polycyclic aromatic hydrocarbons,ElementaryFlow,Emissions / Emissions to soil,kg,,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-983b-0050c2490048,propylene glycol,ElementaryFlow,Emissions / Emissions to air,kg,000057-55-6,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9894-0050c2490048,propylene glycol monomethyl ether,ElementaryFlow,Emissions / Emissions to air,kg,000107-98-2,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-989f-0050c2490048,propylene oxide,ElementaryFlow,Emissions / Emissions to air,kg,000075-56-9,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-98a3-0050c2490048,propylene oxide,ElementaryFlow,Emissions / Emissions to water,kg,000075-56-9,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-98a5-0050c2490048,protactinium-234,ElementaryFlow,Emissions / Emissions to air,kBq,015100-28-4,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-98a9-0050c2490048,pyridine,ElementaryFlow,Emissions / Emissions to air,kg,000110-86-1,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-98bb-0050c2490048,radium-224,ElementaryFlow,Emissions / Emissions to water,kBq,013233-32-4,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-98bf-0050c2490048,radium-226,ElementaryFlow,Emissions / Emissions to water,kBq,013982-63-3,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-98c2-0050c2490048,radium-226,ElementaryFlow,Emissions / Emissions to water,kBq,013982-63-3,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-98c3-0050c2490048,radium-228,ElementaryFlow,Emissions / Emissions to air,kBq,015262-20-1,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-98c7-0050c2490048,radium-228,ElementaryFlow,Emissions / Emissions to water,kBq,015262-20-1,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-98ce-0050c2490048,scandium,ElementaryFlow,Emissions / Emissions to air,kg,007440-20-2,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-98d2-0050c2490048,scandium,ElementaryFlow,Emissions / Emissions to water,kg,007440-20-2,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-98d5-0050c2490048,selenium,ElementaryFlow,Emissions / Emissions to water,kg,007782-49-2,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-98d8-0050c2490048,selenium,ElementaryFlow,Emissions / Emissions to soil,kg,007782-49-2,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-98d9-0050c2490048,selenium,ElementaryFlow,Emissions / Emissions to water,kg,007782-49-2,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-98de-0050c2490048,silver-110,ElementaryFlow,Emissions / Emissions to water,kBq,014391-76-5,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-98e2-0050c2490048,simazine,ElementaryFlow,Emissions / Emissions to soil,kg,000122-34-9,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-98e4-0050c2490048,simazine,ElementaryFlow,Emissions / Emissions to air,kg,000122-34-9,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-98e8-0050c2490048,simazine,ElementaryFlow,Emissions / Emissions to water,kg,000122-34-9,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9910-0050c2490048,styrene,ElementaryFlow,Emissions / Emissions to air,kg,000100-42-5,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9924-0050c2490048,sulfur,ElementaryFlow,Emissions / Emissions to soil,kg,007704-34-9,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9926-0050c2490048,sulfur,ElementaryFlow,Emissions / Emissions to water,kg,007704-34-9,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9934-0050c2490048,tert-butyl methyl ether,ElementaryFlow,Emissions / Emissions to air,kg,001634-04-4,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9938-0050c2490048,tert-butyl methyl ether,ElementaryFlow,Emissions / Emissions to water,kg,001634-04-4,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-993b-0050c2490048,tert-butyl methyl ether,ElementaryFlow,Emissions / Emissions to water,kg,001634-04-4,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-993c-0050c2490048,tebuconazole,ElementaryFlow,Emissions / Emissions to soil,kg,107534-96-3,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9943-0050c2490048,tebutam,ElementaryFlow,Emissions / Emissions to soil,kg,035256-85-0,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9945-0050c2490048,technetium-99,ElementaryFlow,Emissions / Emissions to water,kBq,014133-76-7,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9948-0050c2490048,teflubenzuron,ElementaryFlow,Emissions / Emissions to soil,kg,083121-18-0,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-994b-0050c2490048,2,2,4-trimethylpentane,ElementaryFlow,Emissions / Emissions to air,kg,000540-84-1,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9961-0050c2490048,thallium,ElementaryFlow,Emissions / Emissions to soil,kg,007440-28-0,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9963-0050c2490048,thallium,ElementaryFlow,Emissions / Emissions to air,kg,007440-28-0,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9967-0050c2490048,thallium,ElementaryFlow,Emissions / Emissions to water,kg,007440-28-0,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-996b-0050c2490048,thallium,ElementaryFlow,Emissions / Emissions to water,kg,007440-28-0,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-996d-0050c2490048,thifensulfuron-methyl,ElementaryFlow,Emissions / Emissions to soil,kg,079277-27-3,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9972-0050c2490048,thorium-228,ElementaryFlow,Emissions / Emissions to water,kBq,014274-82-9,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9975-0050c2490048,thorium-228,ElementaryFlow,Emissions / Emissions to water,kBq,014274-82-9,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9976-0050c2490048,thorium-230,ElementaryFlow,Emissions / Emissions to air,kBq,014269-63-7,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-997a-0050c2490048,thorium-230,ElementaryFlow,Emissions / Emissions to water,kBq,014269-63-7,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-997f-0050c2490048,thorium-232,ElementaryFlow,Emissions / Emissions to air,kBq,007440-29-1,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9983-0050c2490048,thorium-232,ElementaryFlow,Emissions / Emissions to water,kBq,007440-29-1,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9988-0050c2490048,toluene,ElementaryFlow,Emissions / Emissions to water,kg,000108-88-3,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-998f-0050c2490048,tin,ElementaryFlow,Emissions / Emissions to water,kg,007440-31-5,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9993-0050c2490048,tin,ElementaryFlow,Emissions / Emissions to water,kg,007440-31-5,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9994-0050c2490048,titanium,ElementaryFlow,Emissions / Emissions to soil,kg,007440-32-6,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9996-0050c2490048,titanium,ElementaryFlow,Emissions / Emissions to air,kg,007440-32-6,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-999a-0050c2490048,titanium,ElementaryFlow,Emissions / Emissions to water,kg,007440-32-6,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-999d-0050c2490048,titanium,ElementaryFlow,Emissions / Emissions to soil,kg,007440-32-6,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-999e-0050c2490048,titanium,ElementaryFlow,Emissions / Emissions to water,kg,007440-32-6,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-99a6-0050c2490048,toluene,ElementaryFlow,Emissions / Emissions to water,kg,000108-88-3,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-99a9-0050c2490048,2,4-dinitrotoluene,ElementaryFlow,Emissions / Emissions to air,kg,000121-14-2,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-99b1-0050c2490048,thorium-234,ElementaryFlow,Emissions / Emissions to air,kBq,015065-10-8,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-99b5-0050c2490048,thorium-234,ElementaryFlow,Emissions / Emissions to water,kBq,015065-10-8,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-99b9-0050c2490048,tin,ElementaryFlow,Emissions / Emissions to soil,kg,007440-31-5,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-99bb-0050c2490048,tin,ElementaryFlow,Emissions / Emissions to air,kg,007440-31-5,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9a04-0050c2490048,acenaphthene,ElementaryFlow,Emissions / Emissions to air,kg,000083-32-9,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9a8e-0050c2490048,azoxystrobin,ElementaryFlow,Emissions / Emissions to soil,kg,131860-33-8,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9a90-0050c2490048,azoxystrobin,ElementaryFlow,Emissions / Emissions to water,kg,131860-33-8,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9ac8-0050c2490048,chlortoluron,ElementaryFlow,Emissions / Emissions to soil,kg,015545-48-9,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9aca-0050c2490048,chromium,ElementaryFlow,Emissions / Emissions to soil,kg,007440-47-3,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9acc-0050c2490048,chromium,ElementaryFlow,Emissions / Emissions to air,kg,007440-47-3,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9b1c-0050c2490048,triethylene glycol,ElementaryFlow,Emissions / Emissions to water,kg,000112-27-6,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9b1f-0050c2490048,triethylene glycol,ElementaryFlow,Emissions / Emissions to water,kg,000112-27-6,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9b20-0050c2490048,trifluralin,ElementaryFlow,Emissions / Emissions to soil,kg,001582-09-8,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9b34-0050c2490048,trifluralin,ElementaryFlow,Emissions / Emissions to water,kg,001582-09-8,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9b43-0050c2490048,trimethylamine,ElementaryFlow,Emissions / Emissions to air,kg,000075-50-3,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9b47-0050c2490048,trinexapac-ethyl,ElementaryFlow,Emissions / Emissions to soil,kg,095266-40-3,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
