id,name,methodFamily,version,source
IAM_PCF,Product Carbon Footprint screening,Climate change / PCF,screening,Method placeholder for later calculation
IAM_EF31,Environmental Footprint 3.1,EF,3.1,EU Environmental Footprint method family
