from_id,to_id,amount,unit,direction,location,quantitativeReference,ratioToReference,dataMaturity
PROC_ALU_EXTRUSION_EF,8db68d81-3998-4b52-af19-2beb2ac9a98e,0.00634043478832015,m2,input,FI,false,0.00634043478832015,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,eb84226d-129f-49d8-8d69-cc484b7a6cbf,4.12177742621695E-8,m2*a,input,BA,false,4.12177742621695E-08,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,d4008b63-fb71-4e00-bfda-3528c9c7e40d,6.92722556719906E-10,m2,input,NZ,false,6.92722556719906E-10,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,f214ae27-6555-11dd-ad8b-0800200c9a66,4.94549999575208E-7,kg,input,,false,4.94549999575208E-07,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,172b2803-6556-11dd-ad8b-0800200c9a66,1.4740983071691E-16,kg,input,,false,1.4740983071691E-16,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,848d055d-88c2-4926-9ddd-1671887c4e2f,3.29798734891991E-9,m2,input,ZA,false,3.29798734891991E-09,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,64faa7b1-e114-497a-b584-f4659e7115e4,1.49422161699222E-7,m2,input,TR,false,1.49422161699222E-07,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,933debfd-2aa5-4a35-b07b-2732350ea29c,6.48083481350878E-12,m2,input,RS,false,6.48083481350878E-12,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,da174fac-e567-42d3-99b5-a688913dc88e,0.232829199514609,kg,input,,false,0.232829199514609,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,eb84226d-129f-49d8-8d69-cc484b7a6cbf,2.29059178854235E-8,m2*a,input,LU,false,2.29059178854235E-08,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,9fcab08d-c0e9-490f-b594-ee023a78d5c7,3.83976189837524E-14,m2,input,CA,false,3.83976189837524E-14,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,6d205e19-e6c2-4090-b138-01a1b9326a76,-1.37970196369655E-9,m2,input,,false,-1.37970196369655E-09,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,42378359-15eb-4e60-8f72-b796b9d71e69,6.03230929242022E-9,m2*a,input,NO,false,6.03230929242022E-09,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,6e70f994-480b-4836-a605-5f958a3d7ea4,0.00347158797574715,m3,input,,false,0.00347158797574715,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,9699a63f-c966-43a4-816c-b1fbbf0a3e88,2.05233944421422E-10,m2,input,IN,false,2.05233944421422E-10,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,616ab5c3-116f-4fbb-bc6b-196318afe5be,5.66372666827562E-8,m2*a,input,SK,false,5.66372666827562E-08,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,1729c87c-6556-11dd-ad8b-0800200c9a66,1.16342132311096E-21,kg,input,,false,1.16342132311096E-21,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,91e86b1f-98b2-433a-8356-cfc2b2b2a7c4,1.75173934988573E-8,m2,input,GB,false,1.75173934988573E-08,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,c0143eba-3daf-44ad-8d34-6e1d34128ace,7.99428866308797E-9,m2,input,US,false,7.99428866308797E-09,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,1f30fd77-6556-11dd-ad8b-0800200c9a66,7.327623426618233E-5,kg,input,,false,7.32762342661823E-05,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,fe0acd60-3ddc-11dd-a6fd-0050c2490048,5.017386736495544E-7,MJ,input,,false,5.01738673649554E-07,background_LCI_secondary_ILCD
PROC_ALU_EXTRUSION_EF,c38ef9cf-ae41-40a8-b018-58d9472c7cfa,3.97791374786862E-19,m2*a,input,,false,3.97791374786862E-19,background_LCI_secondary_ILCD
