from_id,to_id,mass_g,fraction,role
PART_FLAT_ABS_CONTACT,MAT_ABS,,1.0,primary candidate material
PART_FLAT_ABS_INTERFACE,MAT_PA12,,1.0,interface candidate
PART_FLAT_ASA_CONTACT,MAT_ASA,,1.0,primary candidate material
PART_FLAT_ASA_INTERFACE,MAT_PA12,,1.0,interface candidate
PART_FLAT_PLA_CONTACT,MAT_PLA,,1.0,primary candidate material
PART_FLAT_PLA_INTERFACE,MAT_PA12,,1.0,interface candidate
PART_PREC_PA11_CONTACT,MAT_PA11,,1.0,primary candidate material
PART_PREC_PA11_INTERFACE,MAT_PA12,,1.0,interface candidate
PART_PREC_PC_CONTACT,MAT_PC,,1.0,primary candidate material
PART_PREC_PC_INTERFACE,MAT_PA12,,1.0,interface candidate
PART_PU_PAD_CONTACT,MAT_PU,,1.0,primary candidate material
PART_PU_PAD_INTERFACE,MAT_PA12,,1.0,interface candidate
